dayofweek,bookinghour,item_status,Location,TotalBookings
Sunday,8,NO_TAKER,3.1093524101.5876318,1
Sunday,9,NO_TAKER,3.0730978101.7627734,2
Sunday,0,NO_TAKER,3.1654507101.6068223,1
Sunday,14,NO_TAKER,3.1333608451985779101.55375788193216,10
Sunday,23,NO_TAKER,2.95036101.65692,7
Sunday,12,NO_TAKER,3.0482802101.5835967,1
Sunday,0,NO_TAKER,3.0759969101.586586,1
Sunday,21,NO_TAKER,3.15044091837275101.760371092873,1
Sunday,23,NO_TAKER,2.7546143711118094101.70338577963552,11
Thursday,6,NO_TAKER,2.9242101.6342697,2
Thursday,15,NO_TAKER,3.0672402101.4787854,1
Thursday,5,NO_TAKER,3.2287145101.6518207,1
Thursday,9,CANCELLED_BY_PASSENGER,3.1333608451985779101.55375788193216,2
Thursday,7,CANCELLED_BY_DRIVER,3.113202101.592002,1
Thursday,15,CANCELLED_BY_PASSENGER,3.1335905101.7624657,1
Thursday,6,CANCELLED_BY_PASSENGER,2.9255701101.6367957,5
Thursday,7,NO_TAKER,2.9263859101.6359856,6
Thursday,16,CANCELLED_BY_PASSENGER,3.2302779101.5680216,1
Thursday,12,CANCELLED_BY_PASSENGER,2.755162302889564101.7042388640315,2
Thursday,12,CANCELLED_BY_PASSENGER,2.9255701101.6367957,2
Thursday,18,CANCELLED_BY_PASSENGER,3.1541984101.5962599,1
Thursday,0,NO_TAKER,3.04796930976786101.620735092575,1
Thursday,21,NO_TAKER,2.9535345101.7571023,1
Thursday,21,NO_TAKER,3.0734121429733809101.60597741603851,4
Thursday,23,CANCELLED_BY_PASSENGER,3.2306855101.7252078,1
Thursday,12,CANCELLED_BY_PASSENGER,2.9910966101.6172414,1
Thursday,0,CANCELLED_BY_PASSENGER,2.99595562616187101.575434031545,4
Thursday,20,CANCELLED_BY_PASSENGER,2.9690842379224849101.71270610064316,4
Thursday,18,NO_TAKER,2.9163902101.6317789,1
Thursday,19,NO_DRIVER_AVAILABLE,2.9438509101.8757203,1
Thursday,21,NO_TAKER,3.0732742078838089101.60758137702942,9
Thursday,20,CANCELLED_BY_PASSENGER,3.1333608451985779101.55375788193216,13
Thursday,20,CANCELLED_BY_PASSENGER,3.0524024101.599496,1
Thursday,16,CANCELLED_BY_PASSENGER,2.9240358101.636143,2
Thursday,7,CANCELLED_BY_PASSENGER,2.8327493101.5834223,1
Thursday,10,CANCELLED_BY_PASSENGER,2.9209955101.5381302,1
Thursday,21,NO_TAKER,3.1280893101.7539012,1
Thursday,21,NO_TAKER,3.1075846752102447101.58606469631196,1
Thursday,13,CANCELLED_BY_PASSENGER,3.2233537101.7128651,1
Thursday,17,CANCELLED_BY_PASSENGER,2.9197048101.6370508,3
